主键,装备名称,部位      ,当前阶数 ,下一阶数     ,加成属性             ,消耗道具
id,name,position,level,nextLevel,attribute        ,item
1 ,武器  ,1       ,0    ,1        ,                 ,1_2
2 ,武器  ,1       ,1    ,2        ,1_50;2_50;3_50   ,1_2
3 ,武器  ,1       ,2    ,3        ,1_100;2_100;3_100,1_2
4 ,武器  ,1       ,3    ,4        ,1_150;2_150;3_150,1_2
5 ,武器  ,1       ,4    ,5        ,1_200;2_200;3_200,1_2
6 ,武器  ,1       ,5    ,6        ,1_250;2_250;3_250,1_2
7 ,武器  ,1       ,6    ,7        ,1_300;2_300;3_300,1_2
8 ,武器  ,1       ,7    ,8        ,1_350;2_350;3_350,1_2
9 ,武器  ,1       ,8    ,9        ,1_400;2_400;3_400,1_2
10,武器  ,1       ,9    ,10       ,1_450;2_450;3_450,1_2
11,武器  ,1       ,10   ,0        ,1_500;2_500;3_500,
12,武器  ,2       ,0    ,1        ,                 ,1_2
13,衣服  ,2       ,1    ,2        ,1_50;2_50;3_50   ,1_2
14,衣服  ,2       ,2    ,3        ,1_100;2_100;3_100,1_2
15,衣服  ,2       ,3    ,4        ,1_150;2_150;3_150,1_2
16,衣服  ,2       ,4    ,5        ,1_200;2_200;3_200,1_2
17,衣服  ,2       ,5    ,6        ,1_250;2_250;3_250,1_2
18,衣服  ,2       ,6    ,7        ,1_300;2_300;3_300,1_2
19,衣服  ,2       ,7    ,8        ,1_350;2_350;3_350,1_2
20,衣服  ,2       ,8    ,9        ,1_400;2_400;3_400,1_2
21,衣服  ,2       ,9    ,10       ,1_450;2_450;3_450,1_2
22,衣服  ,2       ,10   ,0        ,1_500;2_500;3_500,
23,头盔  ,3       ,0    ,1        ,                 ,1_2
24,头盔  ,3       ,1    ,2        ,1_50;2_50;3_50   ,1_2
25,头盔  ,3       ,2    ,3        ,1_100;2_100;3_100,1_2
26,头盔  ,3       ,3    ,4        ,1_150;2_150;3_150,1_2
27,头盔  ,3       ,4    ,5        ,1_200;2_200;3_200,1_2
28,头盔  ,3       ,5    ,6        ,1_250;2_250;3_250,1_2
29,头盔  ,3       ,6    ,7        ,1_300;2_300;3_300,1_2
30,头盔  ,3       ,7    ,8        ,1_350;2_350;3_350,1_2
31,头盔  ,3       ,8    ,9        ,1_400;2_400;3_400,1_2
32,头盔  ,3       ,9    ,10       ,1_450;2_450;3_450,1_2
33,头盔  ,3       ,10   ,0        ,1_500;2_500;3_500,
34,裤子  ,4       ,0    ,1        ,                 ,1_2
35,裤子  ,4       ,1    ,2        ,1_50;2_50;3_50   ,1_2
36,裤子  ,4       ,2    ,3        ,1_100;2_100;3_100,1_2
37,裤子  ,4       ,3    ,4        ,1_150;2_150;3_150,1_2
38,裤子  ,4       ,4    ,5        ,1_200;2_200;3_200,1_2
39,裤子  ,4       ,5    ,6        ,1_250;2_250;3_250,1_2
40,裤子  ,4       ,6    ,7        ,1_300;2_300;3_300,1_2
41,裤子  ,4       ,7    ,8        ,1_350;2_350;3_350,1_2
42,裤子  ,4       ,8    ,9        ,1_400;2_400;3_400,1_2
43,裤子  ,4       ,9    ,10       ,1_450;2_450;3_450,1_2
44,裤子  ,4       ,10   ,0        ,1_500;2_500;3_500,
45,鞋子  ,5       ,0    ,1        ,                 ,1_2
46,鞋子  ,5       ,1    ,2        ,1_50;2_50;3_50   ,1_2
47,鞋子  ,5       ,2    ,3        ,1_100;2_100;3_100,1_2
48,鞋子  ,5       ,3    ,4        ,1_150;2_150;3_150,1_2
49,鞋子  ,5       ,4    ,5        ,1_200;2_200;3_200,1_2
50,鞋子  ,5       ,5    ,6        ,1_250;2_250;3_250,1_2
51,鞋子  ,5       ,6    ,7        ,1_300;2_300;3_300,1_2
52,鞋子  ,5       ,7    ,8        ,1_350;2_350;3_350,1_2
53,鞋子  ,5       ,8    ,9        ,1_400;2_400;3_400,1_2
54,鞋子  ,5       ,9    ,10       ,1_450;2_450;3_450,1_2
55,鞋子  ,5       ,10   ,0        ,1_500;2_500;3_500,
